snapped_at,price
2020-09-22,5.28424438726287
2020-09-23,5.28424438726287
2020-09-24,3.491229168216385
2020-09-25,4.573890580327729
2020-09-26,4.702973876095848
2020-09-27,4.524678243432584
2020-09-28,4.652979768192462
2020-09-29,4.2066589802711825
2020-09-30,4.138614653765331
2020-10-01,4.3273324024062845
2020-10-02,4.155602631208861
2020-10-03,3.9099099574382943
2020-10-04,4.028153546757421
2020-10-05,3.9688527298707648
2020-10-06,3.983027284959082
2020-10-07,3.541747372273497
2020-10-08,3.4413650446594928
2020-10-09,3.9083820710299406
2020-10-10,4.243203228389407
2020-10-11,4.026138967282433
2020-10-12,4.104038313365283
2020-10-13,4.4154323370705555
2020-10-14,4.483415556165992
2020-10-15,4.149229943053339
2020-10-16,4.130905147133307
2020-10-17,4.048449316015311
2020-10-18,4.193864385042294
2020-10-19,4.125095246738391
2020-10-20,4.054191127181616
2020-10-21,3.8084935063375425
2020-10-22,3.961184523320031
2020-10-23,4.3329499671601965
2020-10-24,4.26258566547734
2020-10-25,4.189666942085328
2020-10-26,4.131025010075838
2020-10-27,4.151182229295094
2020-10-28,4.132092090719307
2020-10-29,4.066853657222082
2020-10-30,3.782075122627534
2020-10-31,3.723757370409702
2020-11-01,3.6379025146101838
2020-11-02,3.6877924672575046
2020-11-03,3.6239143497049278
2020-11-04,3.3207164787496954
2020-11-05,3.183540906046702
2020-11-06,3.3619032561675457
2020-11-07,3.602302501982694
2020-11-08,3.422974908967325
2020-11-09,3.450565132660549
2020-11-10,3.4123283379658065
2020-11-11,3.5789975686617974
2020-11-12,3.4938463799540425
2020-11-13,3.426295916532368
2020-11-14,3.6887378553935615
2020-11-15,3.4982859459558204
2020-11-16,3.545961291931629
2020-11-17,3.7017809793470122
2020-11-18,3.8508211859100037
2020-11-19,3.7587164230020442
2020-11-20,3.639452035320714
2020-11-21,3.708675367606913
2020-11-22,4.014871800511429
2020-11-23,3.8951162009179288
2020-11-24,4.070758681119089
2020-11-25,4.257054136764098
2020-11-26,4.040355334481183
2020-11-27,3.531787898047006
2020-11-28,3.60239361115469
2020-11-29,3.624877983365333
2020-11-30,3.700930282082298
2020-12-01,3.675294845817628
2020-12-02,3.567487254757791
2020-12-03,3.759990960267427
2020-12-04,3.8179467481668072
2020-12-05,3.56284745212329
2020-12-06,3.634295330337526
2020-12-07,3.5953341401471794
2020-12-08,3.3816963156921664
2020-12-09,3.1374667910891123
2020-12-10,3.2748796137271183
2020-12-11,3.1586794578042996
2020-12-12,3.2531835970191407
2020-12-13,3.3401362124739924
2020-12-14,3.3227025797264873
2020-12-15,3.136320655695538
2020-12-16,3.296625986181793
2020-12-17,3.3415414550250753
2020-12-18,3.211690680339498
2020-12-19,3.406337310202563
2020-12-20,3.4678194034651715
2020-12-21,3.309575879212005
2020-12-22,3.1130467067200276
2020-12-23,3.0912137574002343
2020-12-24,2.988403330278243
2020-12-25,3.107804372682705
2020-12-26,2.951741662508668
2020-12-27,2.927143649230784
2020-12-28,2.915339321806199
2020-12-29,2.949404426593608
2020-12-30,2.9234883703900008
2020-12-31,2.9140658167284226
2021-01-01,3.2067767178511386
2021-01-02,3.6658404034984597
2021-01-03,3.5011306390731107
2021-01-04,3.4604217647014117
2021-01-05,3.515633280894971
2021-01-06,4.291884561102384
2021-01-07,4.622471683302943
2021-01-08,4.490586485081188
2021-01-09,5.808799404644824
2021-01-10,7.265505432305608
2021-01-11,6.59681401377156
2021-01-12,6.495361999451825
2021-01-13,7.752237665310813
2021-01-14,8.470867268951869
2021-01-15,9.298271816908075
2021-01-16,9.356116878609232
2021-01-17,12.92680115690824
2021-01-18,13.125604047616871
2021-01-19,12.691775399963552
2021-01-20,11.797484791543022
2021-01-21,12.572961540535081
2021-01-22,11.34968688854791
2021-01-23,12.694700045733684
2021-01-24,12.868331874504412
2021-01-25,12.444290007408927
2021-01-26,12.219640149155907
2021-01-27,12.205471826555264
2021-01-28,11.194522039800024
2021-01-29,11.994562732932318
2021-01-30,11.587885361155436
2021-01-31,11.962179984022768
2021-02-01,13.469297821352306
2021-02-02,13.181408093320432
2021-02-03,13.504583184697712
2021-02-04,14.864357903384409
2021-02-05,15.317957387179376
2021-02-06,17.935561870427435
2021-02-07,17.982307294688297
2021-02-08,24.08730542561494
2021-02-09,30.52777607414703
2021-02-10,31.596744300262174
2021-02-11,55.51484730173893
2021-02-12,47.228491541914856
2021-02-13,48.980940222392405
2021-02-14,43.985820465466176
2021-02-15,38.507308248364666
2021-02-16,37.959060119691856
2021-02-17,36.2357357306177
2021-02-18,36.826978332863284
2021-02-19,40.895495750328365
2021-02-20,38.93652200447798
2021-02-21,36.3534365414534
2021-02-22,36.223469000680154
2021-02-23,32.45383191436662
2021-02-24,27.516177381739162
2021-02-25,29.74129698885183
2021-02-26,26.666341173107746
2021-02-27,25.99030287205455
2021-02-28,26.137626905691228
2021-03-01,23.85607145277158
2021-03-02,27.425455424832325
2021-03-03,27.188054746589867
2021-03-04,27.38833799879518
2021-03-05,25.675490236065123
2021-03-06,24.441001287889627
2021-03-07,24.989470041609493
2021-03-08,26.56727859029896
2021-03-09,25.49599582848919
2021-03-10,34.27674764223849
2021-03-11,29.807323508090693
2021-03-12,30.73680875354817
2021-03-13,28.117722285861383
2021-03-14,30.992577497724273
2021-03-15,29.265335372240834
2021-03-16,29.069045851009488
2021-03-17,33.081252026160215
2021-03-18,32.82609035078864
2021-03-19,33.30822164005943
2021-03-20,37.83962031914909
2021-03-21,34.44023069216908
2021-03-22,32.92911576581013
2021-03-23,29.510058230793643
2021-03-24,28.757556645820873
2021-03-25,26.053184110042988
2021-03-26,25.768828212177734
